task;synonym_1;synonym_2;synonym_3;synonym_4
bloody_cough;кашель с кровью;отхаркивание крови;;
hallucination;галлюцинации;;;
problems_with_the_sense_of_touch_in_the_face;Проблемы с осязанием на лице;;;
increased_touch_sensitivity;повышенная чувствительность;;;
impaired_hearing;Нарушение слуха;;;
itching_in_the_ear;Зуд в ухе;;;
reduced_appetite;снижение аппетита;пониженный аппетит;;
knee_deformity;Деформация коленного сустава ;;;
eye_blinking; моргание;;;
tic;судорожное сокращение;тик;;
increased_salivation;Повышенное слюноотделение;;;
involuntary_movements;Involuntary movements;;;
vision_impairment_for_near_objects;Ухудшение зрения вблизи;дальнозоркость;;
mood_swings;колебания настроения ;частые перепады настроения;неустойчивое эмоциональное состояние ;
moist_and_softened_skin;мягкая и влажная кожа;;;
    feeling_of_pressure_in_the_ear;давление в ушах;давит в ушах;ощущение давления в ушах;
hearing_loss;потеря слуха;;;
lockjaw;Столбняк;;;
dry_eyes;сухость в глазах;;;
back_deformity;Деформация спины;;;
curvature_of_the_spine;Искривление позвоночника;;;
pain_radiating_to_the_leg;боль отдает в ногу;;;
aggressiveness;Агрессивность;;;
malposition_of_the_testicles;Неправильное положение яичек;;;
increased_drive;повышенная возбуждаемость;;;
irregular_mole;злокачественная родинка;;;
sensitivity_to_noise;Чувствительность к шуму;;;
discoloration_of_nails;обесцвечивание ногтей;;;
vision_impairment_for_far_objects;близорукость;;;
burning_sensation_when_urinating;Жжение при мочеиспускании;;;
coarsening_of_the_skin_structure;Огрубение кожи;;;
sweating;потливость;;;
joint_effusion;Выпот в суставе;;;
stress-related_leg_pain;боль в ноге связанная со стрессом;;;
numbness_in_the_leg;Онемение в ноге;;;
shiny_red_tongue;Блестящий красный язык;;;
purulent_discharge_from_the_vagina;Гнойные выделения из влагалища;;;
